Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
alabaster;                          0.7.12;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
appdirs;                            1.4.4;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
argon2-cffi;                        21.1.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
argparse-addons;                    0.7.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
arpeggio;                           1.10.2;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
astroid;                            2.8.4;              pypi_0;                 pypi;       GNU Lesser General Public License v2 (LGPLv2);                              2021-11-15
attrs;                              21.2.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
babel;                              2.9.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
backcall;                           0.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
beautifulsoup4;                     4.10.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
bitstruct;                          8.11.1;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
black;                              21.10b0;            pypi_0;                 pypi;       MIT License;                                                                2021-11-15
bleach;                             4.1.0;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
bokeh;                              2.4.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
bottle;                             0.12.19;            pypi_0;                 pypi;       MIT License;                                                                2021-11-15
ca-certificates;                    2021.10.26;         haa95532_2;             defaults;   MPL 2.0;                                                                    2021-07-26
cantools;                           36.5.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
certifi;                            2021.10.8;          py39haa95532_0;         defaults;   Mozilla Public License 2.0 (MPL 2.0);                                       2021-11-15
cffconvert;                         2.0.0;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
cffi;                               1.15.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
charset-normalizer;                 2.0.7;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
click;                              8.0.3;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
cloudpickle;                        2.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
colorama;                           0.4.4;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
console_shortcut;                   0.1.1;              4;                      defaults;   BSD;                                                                        2021-07-26
coverage;                           6.1.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
crcmod;                             1.7;                pypi_0;                 pypi;       MIT License;                                                                2021-11-15
cycler;                             0.11.0;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
dask;                               2021.11.1;          pypi_0;                 pypi;       BSD License;                                                                2021-11-15
debugpy;                            1.5.1;              pypi_0;                 pypi;       Eclipse Public License 2.0 (EPL-2.0), MIT License;                          2021-11-15
decorator;                          5.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
defusedxml;                         0.7.1;              pypi_0;                 pypi;       Python Software Foundation License;                                         2021-11-15
diskcache;                          5.2.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
docopt;                             0.6.2;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
docutils;                           0.16;               pypi_0;                 pypi;       BSD License, GNU General Public License (GPL), Public Domain, Python Software Foundation License;2021-11-15
doorstop;                           2.2b5;              pypi_0;                 pypi;       GNU Lesser General Public License v3 (LGPLv3), Other/Proprietary License;   2021-11-15
doxygen;                            1.9.1;              1;                      foxbms;     GPLv2;                                                                      2021-07-26
entrypoints;                        0.3;                pypi_0;                 pypi;       MIT License;                                                                2021-11-15
et-xmlfile;                         1.1.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
filterpy;                           1.4.5;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
fsspec;                             2021.11.0;          pypi_0;                 pypi;       BSD License;                                                                2021-11-15
gcovr;                              5.0;                pypi_0;                 pypi;       BSD License;                                                                2021-11-15
gitdb;                              4.0.9;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
gitpython;                          3.1.24;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
gprof2dot;                          2021.2.21;          pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-11-15
graphviz;                           2.38;               hfd603c8_2;             defaults;   EPL v1.0;                                                                   2021-07-26
httplib2;                           0.20.2;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
idna;                               3.3;                pypi_0;                 pypi;       BSD License;                                                                2021-11-15
imagesize;                          1.3.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
ipykernel;                          6.5.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
ipython;                            7.29.0;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
ipython-genutils;                   0.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
ipywidgets;                         7.6.5;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
isort;                              5.10.1;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
jdcal;                              1.4.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jedi;                               0.18.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
jinja2;                             2.11.3;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
joblib;                             1.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jsonschema;                         3.2.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
jupyter;                            1.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jupyter-client;                     7.0.6;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jupyter-console;                    6.4.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jupyter-core;                       4.9.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
jupyterlab-pygments;                0.1.2;              pypi_0;                 pypi;       BSD;                                                                        2021-11-15
jupyterlab-widgets;                 1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
kiwisolver;                         1.3.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
latexcodec;                         2.0.1;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
lazy-object-proxy;                  1.6.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
locket;                             0.2.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
lxml;                               4.6.4;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
markdown;                           3.3.4;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
markupsafe;                         2.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
matplotlib;                         3.4.3;              pypi_0;                 pypi;       Python Software Foundation License;                                         2021-11-15
matplotlib-inline;                  0.1.3;              pypi_0;                 pypi;       BSD 3-Clause;                                                               2021-11-15
mccabe;                             0.6.1;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
mistune;                            0.8.4;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
mypy;                               0.910;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
mypy-extensions;                    0.4.3;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
nbclient;                           0.5.5;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
nbconvert;                          6.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
nbformat;                           5.1.3;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
nest-asyncio;                       1.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
notebook;                           6.4.5;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
numpy;                              1.21.4;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
openpyxl;                           2.6.4;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
openssl;                            1.1.1l;             h2bbff1b_0;             defaults;   OpenSSL;                                                                    2021-07-26
packaging;                          21.2;               pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-11-15
pandas;                             1.3.4;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
pandas-stubs;                       1.2.0.37;           pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pandoc;                             2.12;               haa95532_0;             defaults;   GPL-2.0;                                                                    2021-07-26
pandocfilters;                      1.5.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
parso;                              0.8.2;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
partd;                              1.2.0;              pypi_0;                 pypi;       BSD;                                                                        2021-11-15
pathspec;                           0.9.0;              pypi_0;                 pypi;       Mozilla Public License 2.0 (MPL 2.0);                                       2021-11-15
patsy;                              0.5.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
pickleshare;                        0.7.5;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pillow;                             8.4.0;              pypi_0;                 pypi;       Historical Permission Notice and Disclaimer (HPND);                         2021-11-15
pip;                                21.2.4;             py39haa95532_0;         defaults;   MIT;                                                                        2021-07-26
pip-licenses;                       3.5.3;              pypi_0;                 pypi;       MIT License (MIT License);                                                  2021-07-26
plantuml;                           0.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
plantuml-markdown;                  3.4.4;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
platformdirs;                       2.4.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
plotly;                             5.3.1;              pypi_0;                 pypi;       MIT;                                                                        2021-11-15
powershell_shortcut;                0.0.1;              3;                      defaults;   BSD;                                                                        2021-07-26
prometheus-client;                  0.12.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
prompt-toolkit;                     3.0.22;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
psutil;                             5.8.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
ptable;                             0.9.2;              pypi_0;                 pypi;       BSD License (BSD (3 clause));                                               2021-07-26
pybtex;                             0.24.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pybtex-docutils;                    1.0.1;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pycparser;                          2.21;               pypi_0;                 pypi;       BSD License;                                                                2021-11-15
pyenchant;                          3.2.2;              pypi_0;                 pypi;       GNU Library or Lesser General Public License (LGPL);                        2021-11-15
pygments;                           2.10.0;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
pykwalify;                          1.8.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pylint;                             2.11.1;             pypi_0;                 pypi;       GNU General Public License v2 (GPLv2);                                      2021-11-15
pyparsing;                          2.4.7;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pyrsistent;                         0.18.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pyserial;                           3.5;                pypi_0;                 pypi;       BSD License;                                                                2021-11-15
pysimplegui;                        4.55.1;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-11-15
python;                             3.9.7;              h6244533_1;             defaults;   PSF;                                                                        2021-07-26
python-can;                         4.0.0.dev2;         pypi_0;                 pypi;       GNU Lesser General Public License v3 (LGPLv3);                              2021-11-15
python-datauri;                     0.2.9;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
python-dateutil;                    2.8.2;              pypi_0;                 pypi;       Apache Software License, BSD License;                                       2021-11-15
python-lin;                         0.1.1;              pypi_0;                 pypi;       MIT;                                                                        2021-11-15
python-markdown-math;               0.6;                pypi_0;                 pypi;       BSD;                                                                        2021-11-15
python-uds;                         1.0.2;              pypi_0;                 pypi;       MIT;                                                                        2021-11-15
pytz;                               2021.3;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pyvisa;                             1.11.3;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pywin32;                            228;                py39hbaba5e8_1;         defaults;   Python Software Foundation License;                                         2021-11-15
pywinpty;                           1.1.5;              pypi_0;                 pypi;       MIT;                                                                        2021-11-15
pyyaml;                             5.4.1;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
pyzmq;                              22.3.0;             pypi_0;                 pypi;       BSD License, GNU Library or Lesser General Public License (LGPL);           2021-11-15
qtconsole;                          5.2.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
qtpy;                               1.11.2;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
regex;                              2021.11.10;         pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
requests;                           2.26.0;             pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
requests-file;                      1.5.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
rope;                               0.21.0;             pypi_0;                 pypi;       GNU Lesser General Public License v3 or later (LGPLv3+);                    2021-11-15
rsinstrument;                       1.19.0.75;          pypi_0;                 pypi;       MIT License;                                                                2021-11-15
ruamel-yaml;                        0.17.17;            pypi_0;                 pypi;       MIT License;                                                                2021-11-15
ruamel-yaml-clib;                   0.2.6;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
scikit-learn;                       1.0.1;              pypi_0;                 pypi;       new BSD;                                                                    2021-11-15
scipy;                              1.7.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
seaborn;                            0.11.2;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
send2trash;                         1.8.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
setuptools;                         58.0.4;             py39haa95532_0;         defaults;   MIT;                                                                        2021-07-26
six;                                1.16.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
smmap;                              5.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
snowballstemmer;                    2.1.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
soupsieve;                          2.3;                pypi_0;                 pypi;       MIT License;                                                                2021-11-15
sphinx;                             4.3.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinx-copybutton;                  0.3.3;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
sphinx-panels;                      0.6.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
sphinx-plotly-directive;            0.1.3;              pypi_0;                 pypi;       MIT License;                                                                2021-07-26
sphinx-rtd-theme;                   1.0.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
sphinxcontrib-applehelp;            1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-bibtex;               2.4.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-devhelp;              1.0.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-htmlhelp;             2.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-jsmath;               1.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-mermaid;              0.7.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-needs;                0.7.3;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
sphinxcontrib-plantuml;             0.21;               pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-programoutput;        0.17;               pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-qthelp;               1.0.3;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-serializinghtml;      1.1.5;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sphinxcontrib-spelling;             7.2.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
sqlite;                             3.36.0;             h2bbff1b_0;             defaults;   Public-Domain (http://www.sqlite.org/copyright.html);                       2021-07-26
statsmodels;                        0.13.0;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
strictdoc;                          0.0.17;             pypi_0;                 pypi;       Other/Proprietary License;                                                  2021-11-15
tabulate;                           0.8.9;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
tenacity;                           8.0.1;              pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
terminado;                          0.12.1;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
testpath;                           0.5.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
textparser;                         0.23.0;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
textx;                              2.3.0;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
threadpoolctl;                      3.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
toml;                               0.10.2;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
tomli;                              1.2.2;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
toolz;                              0.11.2;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
tornado;                            6.1;                pypi_0;                 pypi;       Apache Software License;                                                    2021-11-15
traitlets;                          5.1.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
typing-extensions;                  3.10.0.2;           pypi_0;                 pypi;       Python Software Foundation License;                                         2021-11-15
tzdata;                             2021e;              hda174b7_0;             defaults;   Apache-2.0;                                                                 2021-07-26
uptime;                             3.0.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
urllib3;                            1.26.7;             pypi_0;                 pypi;       MIT License;                                                                2021-11-15
vc;                                 14.2;               h21ff451_1;             defaults;   Modified BSD License (3-clause);                                            2021-07-26
vs2015_runtime;                     14.27.29016;        h5e58377_2;             defaults;   \-;                                                                         2021-07-26
wcwidth;                            0.2.5;              pypi_0;                 pypi;       MIT License;                                                                2021-11-15
webencodings;                       0.5.1;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
wheel;                              0.37.0;             pyhd3eb1b0_1;           defaults;   MIT;                                                                        2021-07-26
widgetsnbextension;                 3.5.2;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
wincertstore;                       0.2;                py39haa95532_2;         defaults;   Python Software Foundation License;                                         2021-11-15
windows-curses;                     2.2.0;              pypi_0;                 pypi;       Python Software Foundation License;                                         2021-11-15
winpty;                             0.4.3;              4;                      defaults;   MIT;                                                                        2021-07-26
wrapt;                              1.13.3;             pypi_0;                 pypi;       BSD License;                                                                2021-11-15
wxpython;                           4.1.1;              pypi_0;                 pypi;       wxWindows Library License (https://opensource.org/licenses/wxwindows.php);  2021-11-15
xlsxwriter;                         1.4.5;              pypi_0;                 pypi;       BSD License;                                                                2021-11-15
zlib;                               1.2.11;             h62dcd97_4;             defaults;   zlib;                                                                       2021-07-26
