foxBMS 2;   Release Date;   Permanent link to documentation
v1.2.1;     2021-12-08;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.2.1/
v1.2.0;     2021-10-21;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.2.0/
v1.1.2;     2021-09-03;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.1.2/
v1.1.1;     2021-08-06;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.1.1/
v1.1.0;     2021-07-29;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.1.0/
v1.0.2;     2021-04-30;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.0.2/
v1.0.1;     2021-04-16;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.0.1/
v1.0.0;     2021-04-01;     https://iisb-foxbms.iisb.fraunhofer.de/foxbms/gen2/docs/html/v1.0.0/
v0.3.0;     2021-03-16;     \-
v0.2.0;     2021-02-02;     \-
v0.1.0;     2020-11-17;     \-
