Word;                       Definition
AFE;                        Analog Front-End
BIST;                       Built-In Self Test
BJB;                        Battery Junction Box
BMS;                        Battery management system
CI;                         continuous integration
HARA;                       Hazard Analysis and Risk Assessment
HIL;                        Hardware in the Loop
MSDS;                       Material safety data sheet
NDA;                        Non-disclosure agreement
RTC;                        Real time clock
SPI;                        Serial Peripheral Interface
